Location,Distributed,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Recip,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_65Plus,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,<2-year certificate graduation rate,2-year associate degree graduation rate,4-year bachelor's graduation rate,4-year master's graduation rate,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Degrees awarded,Average Scale Score math_composite,Average Scale Score math_stat,Average Scale Score reading_composite,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total Population,Citizen,Non-Citizen,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Unemployed
Alabama,6427570,4328199,4327799,4115332,1321595,2519696,2519310,2391504,727622,1979070,1979013,1894116,626558,0.577,0.265,0.436,0.494,0.622,0.284,0.413,0.5570625,78445,229.6510022,227.8315934,211.7285204,1128100.0,414500.0,549500.0,1195300.0,645000.0,834700.0,4767100.0,4671000.0,96000.0,3117200.0,1263500.0,211700.0,65200.0,18800.0,N/A,89200.0,73744.0
Alaska,994325,757384,755236,703836,150421,409122,407793,379082,78121,354301,353488,330911,73066,0.958,0.707,1,0.3,0.6691224489795918,0.35,0.448,0.5570625,4756,232.3074785,230.4882803,204.373572,181700.0,65300.0,97500.0,172900.0,92800.0,91500.0,701700.0,681200.0,20500.0,421100.0,15200.0,48900.0,42000.0,106000.0,10400.0,58200.0,23231.0
Arizona,9605950,7989607,7988564,7457984,2304475,4227010,4226095,3938230,1154865,3621676,3621311,3391230,1008066,0.692,0.324,0.504,0.402,0.611,0.373,0.5473249999999998,1,167709,237.6102104,233.2537894,215.8412308,1701600.0,656800.0,860500.0,1708100.0,877500.0,1293600.0,7098000.0,6572400.0,525600.0,3843700.0,306600.0,2254800.0,231000.0,276100.0,12500.0,173400.0,244719.0
Arkansas,3869370,2913833,2908624,2718700,819589,1647501,1643716,1535014,443185,1321693,1320209,1239431,376266,0.632,0.332,0.522,0.431,0.571,0.38,0.5473249999999998,0.5570625,49718,233.2521342,231.3725268,215.0542222,720800.0,253500.0,335600.0,723700.0,383200.0,505700.0,2922500.0,2828400.0,94000.0,2108400.0,444200.0,226800.0,45500.0,16700.0,10800.0,70100.0,59863.0
California,56585755,49162298,49033265,45436169,10462110,27729216,27649117,25652729,5748705,22617135,22568457,20966465,4642847,0.701,0.377,0.746,0.635,0.803,0.612,0.616,0.571,703370,234.7219756,230.3713476,216.4812659,9171300.0,3539800.0,5288800.0,10152200.0,4751600.0,5739000.0,38642700.0,33802700.0,4840100.0,14047400.0,2066300.0,15271400.0,5691100.0,138800.0,137000.0,1290700.0,1456856.0
Colorado,7948785,6979185,6959119,6474909,1501179,3710099,3698286,3439986,762486,3342552,3334467,3109833,695796,0.787,0.595,0.808,0.423,0.661,0.586,0.409,0.5570625,94730,241.8655865,239.3283714,224.8624373,1294400.0,498900.0,792000.0,1488600.0,706600.0,831300.0,5611800.0,5341200.0,270600.0,3804100.0,211100.0,1221900.0,180300.0,29400.0,6200.0,158700.0,197234.0
Connecticut,5454055,4912621,4910907,4544566,1206698,2665252,2663929,2466667,620196,2396165,2395698,2231160,577930,0.659,0.164,0.699,0.574,0.764,0.643,0.698,0.5570625,51701,243.2595018,239.6751685,224.3498166,748700.0,297800.0,390500.0,895300.0,510600.0,610400.0,3453300.0,3218600.0,234700.0,2268200.0,346400.0,583300.0,158600.0,5600.0,N/A,90100.0,139125.0
Delaware,1507435,1174582,1174382,1098840,350377,633875,633707,594816,182803,549441,549399,517609,163615,0.651,0.584,0.5148297872340424,0.287,0.822,0.381,0.5473249999999998,0.5570625,13394,239.3196595,234.7416557,217.6867847,205400.0,75900.0,111000.0,227200.0,135700.0,185200.0,940300.0,891300.0,49000.0,577700.0,205100.0,91100.0,36900.0,3000.0,N/A,26300.0,28225.0
Florida,31395555,25840307,25831469,24448290,8529396,14065421,14057472,13284202,4290120,11845110,11843434,11257185,3744937,0.743,0.567,0.436,0.424,0.706,0.505,0.587,0.575,330489,245.9576065,240.8121895,224.7122613,4376700.0,1680200.0,2399400.0,5236000.0,2872900.0,4426900.0,20992000.0,19087100.0,1905000.0,11119200.0,3150100.0,5583900.0,573500.0,39900.0,12200.0,513300.0,523491.0
Georgia,13903725,10120458,10118006,9521443,2547568,5606349,5604198,5245689,1305257,4543909,4543456,4303455,1133612,0.65,0.392,0.333,0.46,0.611,0.558,0.403,0.5570625,151874,237.6484542,234.676359,217.982568,2602500.0,917200.0,1252700.0,2744000.0,1284300.0,1493300.0,10294000.0,9721300.0,572800.0,5354500.0,3225900.0,1011800.0,422400.0,19700.0,5800.0,253900.0,208033.0
