Location,Distributed,Administered,Series_Complete_Yes,Degrees awarded,Average Scale Score math_composite,Average Scale Score math_stat,Average Scale Score reading_composite,Total Population,Citizen,Non-Citizen,Unemployed,High school or higher,Bachelor's degree or higher,Vaccinated_Proportion,DEM,REP,percent_democrat,Region
Alabama,6427570,4328199,1979070,78445,229.6510022,227.8315934,211.7285204,4767100,4671000,96000,73744,0.87,0.26,0.415151769,843473,1434159,0.370328921,South
Alaska,994325,757384,354301,4756,232.3074785,230.4882803,204.373572,701700,681200,20500,23231,0.94,0.3,0.504918056,45758,80999,0.360989926,West
Arizona,9605950,7989607,3621676,167709,237.6102104,233.2537894,215.8412308,7098000,6572400,525600,244719,0.88,0.3,0.510238941,1643664,1626679,0.502596822,West
Arkansas,3869370,2913833,1321693,49718,233.2521342,231.3725268,215.0542222,2922500,2828400,94000,59863,0.88,0.23,0.452247391,420985,761251,0.356092185,South
California,56585755,49162298,22617135,703370,234.7219756,230.3713476,216.4812659,38642700,33802700,4840100,1456856,0.84,0.35,0.585288683,9315259,4812735,0.659347604,West
Colorado,7948785,6979185,3342552,94730,241.8655865,239.3283714,224.8624373,5611800,5341200,270600,197234,0.92,0.43,0.59562921,1753416,1335253,0.567693074,West
Connecticut,5454055,4912621,2396165,51701,243.2595018,239.6751685,224.3498166,3453300,3218600,234700,139125,0.91,0.4,0.693876871,1059252,699079,0.602418998,Northeast
Delaware,1507435,1174582,549441,13394,239.3196595,234.7416557,217.6867847,940300,891300,49000,28225,0.9,0.33,0.584325215,295413,199857,0.596468593,South
Florida,31395555,25840307,11845110,330489,245.9576065,240.8121895,224.7122613,20992000,19087100,1905000,523491,0.88,0.31,0.564267816,5294767,5667834,0.482984558,South
Georgia,13903725,10120458,4543909,151874,237.6484542,234.676359,217.982568,10294000,9721300,572800,208033,0.88,0.33,0.441413348,2465783,2455431,0.501051773,South
Hawaii,2219230,1826364,798707,13575,238.5673371,231.0703536,217.5320577,1343000,1239300,103700,49750,0.92,0.34,0.594718541,365802,196602,0.650425673,West
Idaho,2091190,1504904,718756,26727,241.8987352,238.6141025,222.5058643,1750900,1699800,51100,27103,0.92,0.29,0.410506597,286991,554019,0.341245645,West
Illinois,17337055,14949849,6620440,202600,237.3973218,234.8151362,218.172226,12362300,11562200,800200,443502,0.9,0.36,0.53553465,3675573,2669999,0.579234307,Midwest
Indiana,7967970,6550089,3174171,117907,244.8831298,241.5895856,221.8129621,6511800,6309000,202800,138192,0.9,0.27,0.487449092,1239529,1727085,0.417826182,Midwest
Iowa,4009965,3360891,1660617,52679,240.6887381,237.4931533,220.5029171,3060200,2972600,87600,66358,0.93,0.29,0.542649827,757700,896102,0.458156418,Midwest
Kansas,3680905,2994947,1445382,54031,239.4397937,235.911897,219.1335666,2811200,2693000,118200,55959,0.92,0.34,0.514151252,551199,753370,0.422514256,Midwest
Kentucky,5472135,4726322,2240808,87008,239.310713,235.6253509,220.9298886,4319300,4211500,107800,87787,0.87,0.25,0.518789619,778214,1343148,0.366846394,South
Louisiana,5454800,4347654,2017303,64665,231.2974132,225.2938636,209.873122,4498600,4393100,105500,143327,0.86,0.25,0.448429067,855630,1255528,0.405289419,South
Maine,2070510,1772157,897617,14399,240.7575903,238.3423705,221.2365271,1302300,1284300,18100,32455,0.93,0.33,0.689255164,419309,340512,0.551852344,Northeast
Maryland,9658710,7763299,3790539,86651,238.5624885,234.3345234,219.8389449,5875500,5445600,429900,193665,0.9,0.41,0.645143222,1590324,861861,0.648533451,South
Massachusetts,10685270,9614627,4608430,136105,247.31944,242.899439,231.0910593,6650800,6122600,528200,180505,0.91,0.45,0.692913634,2254168,1121176,0.66783356,Northeast
Michigan,13155800,10347472,5116644,129146,236.1515849,232.4429069,218.2669565,9765600,9465000,300600,234698,0.91,0.3,0.523945687,2794853,2646956,0.513588955,Midwest
Minnesota,7522080,6509549,3217138,100729,248.4095328,246.0362818,222.393249,5514800,5325400,189300,121637,0.94,0.37,0.583364401,1717991,1485677,0.536257502,Midwest
Mississippi,3647855,2636292,1213726,45925,240.7068903,233.8234059,219.342215,2867100,2833500,33600,79507,0.85,0.22,0.423328799,447162,683527,0.395477448,South
Missouri,7614075,6104681,2848968,93507,238.4101906,236.0826263,218.0016363,5939900,5817300,122600,133380,0.91,0.3,0.479632317,1242851,1711848,0.420635401,Midwest
Montana,1278885,1050301,503064,11257,241.1131899,238.5743816,221.6791309,1039400,1029400,10000,19644,0.94,0.34,0.483994612,243714,341763,0.416265712,West
Nebraska,2449070,2103279,1026254,29807,243.770986,245.3014271,222.3621338,1873600,1788700,84900,25887,0.92,0.33,0.547744449,367931,550232,0.400725144,Midwest
Nevada,3844840,3291466,1515446,27451,235.6262726,232.4942786,217.6175616,3029700,2725300,304000,122104,0.87,0.26,0.500196719,664162,629879,0.513246489,West
New Hampshire,2075770,1715740,824124,35941,244.5591963,240.4170883,224.2640041,1314000,1277200,36800,21555,0.93,0.38,0.627187215,422284,365248,0.536211862,Northeast
New Jersey,13465215,11246942,5572711,100701,245.9315987,241.3762786,227.1894172,8699400,7846800,852600,321343,0.9,0.41,0.640585673,2108110,1449928,0.592492267,Northeast
New Mexico,2806255,2706917,1287513,32415,231.1103167,228.216047,207.5646885,2041400,1939800,101600,74780,0.86,0.28,0.63070099,498022,400920,0.554009046,West
New York,28189805,25056930,12018157,324640,236.7307072,233.6946224,219.6041936,18908300,17175600,1732700,726438,0.88,0.38,0.635602196,3699332,2850352,0.56481076,Northeast
North Carolina,13789810,10856150,5028019,155975,241.4081364,239.2128458,221.2800437,10139700,9641600,498100,231636,0.89,0.32,0.495874533,2658280,2733687,0.493007468,South
North Dakota,871860,718421,325713,13020,242.9283908,240.2564095,221.1770071,731000,716300,14600,16213,0.94,0.3,0.445571819,114687,234962,0.328006086,Midwest
Ohio,14349595,11860835,5761640,167246,241.1404735,238.9428979,221.969269,11351500,11101400,250100,291337,0.91,0.29,0.507566401,2611377,3071959,0.459479608,Midwest
Oklahoma,4853300,3984173,1805668,56759,237.1954249,236.8569028,216.3506843,3826900,3687600,139400,69543,0.88,0.26,0.471835689,503890,1020280,0.330599605,South
Oregon,6443075,5091757,2498931,53998,236.3490312,235.6129582,217.7177112,4128900,3917000,211800,121757,0.91,0.35,0.605229238,1318475,942737,0.58308332,West
Pennsylvania,18417345,15759838,7218057,182712,243.9368521,241.4118741,223.2133828,12377600,11991800,385900,434501,0.91,0.32,0.583154812,3361668,3315998,0.503419608,Northeast
Rhode Island,1665025,1423178,701123,21457,239.3440462,237.0658712,220.1934755,1017100,957900,59200,31869,0.89,0.35,0.689335365,300325,197421,0.603369992,Northeast
South Carolina,6569085,5021448,2321241,56992,236.7545226,234.6897375,215.9817324,4984200,4825200,159000,107035,0.88,0.3,0.465719875,1092518,1386207,0.440758051,South
South Dakota,1121475,924149,443833,12415,241.2962777,237.8407902,222.0045205,851300,833800,17500,13469,0.92,0.3,0.521359098,150475,261108,0.36560062,Midwest
Tennessee,8221680,6543715,2949689,83901,239.6985041,236.662605,219.06111,6640900,6428500,212500,164399,0.88,0.29,0.444170067,1139364,1849791,0.381165915,South
Texas,40417915,31172538,14246449,378532,243.6165426,239.5807251,216.0449984,28286200,25339800,2946400,908527,0.85,0.31,0.50365369,5216321,5872348,0.470419038,South
Utah,3883720,3315568,1563665,107410,243.7890458,242.0761073,225.1486468,3154100,2998800,155200,44206,0.93,0.35,0.495756317,489465,759583,0.391870449,West
Vermont,1014250,884731,428412,10721,238.8998974,234.5926232,221.8259113,598100,588100,10000,9631,0.93,0.39,0.716288246,227231,111131,0.671561818,Northeast
Virginia,12251145,10502675,5000236,136193,246.8894795,249.3010164,223.6418346,8185100,7691700,493400,183799,0.9,0.4,0.610894919,2392751,1961783,0.549484974,South
Washington,10876965,9721256,4671639,99598,239.5108175,236.4816878,219.6928004,7423900,6832000,591900,203018,0.92,0.37,0.629270195,2303430,1514563,0.603309121,West
West Virginia,2892585,1527106,716007,35902,231.4961373,229.3561161,213.1845183,1739000,1727200,11800,42038,0.87,0.21,0.411734905,232502,539610,0.301124707,South
Wisconsin,7139395,6614806,3207606,89616,241.6712452,238.6028574,219.7042744,5677100,5524000,153100,121408,0.93,0.31,0.565007839,1630569,1610030,0.503169013,Midwest
Wyoming,622745,498818,231048,6656,245.8434399,241.6593432,226.6902777,562700,553300,9400,16118,0.95,0.29,0.410606007,73445,193454,0.275179,West
