File Name ->,Graduation_less_2_year,Graduation_2_year,Graduation_4_year,,,,,,Num_degrees,math_composite,math_stat,reading_composite
State,<2-year certificate graduation rate,2-year associate degree graduation rate,4-year bachelor's graduation rate,4-year master's graduation rate,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Degrees awarded,Average Scale Score math_composite,Average Scale Score math_stat,Average Scale Score reading_composite
Massachusetts,0.741,0.204,0.811,0.662,0.798,0.857,0.658,N/A,136105,247.31944,242.899439,231.0910593
New Hampshire,0.717,0.305,0.774,0.615,0.753,0.407,0.491,N/A,35941,244.5591963,240.4170883,224.2640041
Vermont,0.867,0.154,0.576,0.598,0.766,0.928,N/A,N/A,10721,238.8998974,234.5926232,221.8259113
North Dakota,0.591,0.421,0.167,0.436,0.606,0.455,0.601,0.451,13020,242.9283908,240.2564095,221.1770071
Minnesota,0.634,0.325,0.78,0.595,0.785,0.525,0.62,N/A,100729,248.4095328,246.0362818,222.393249
Montana,0.727,0.277,0.415,0.391,0.534,0.517,0.485,N/A,11257,241.1131899,238.5743816,221.6791309
Maine,0.837,0.275,0.744,0.596,0.524,0.567,0.572,N/A,14399,240.7575903,238.3423705,221.2365271
Iowa,1,0.355,0.735,0.592,0.731,0.491,0.469,0.637,52679,240.6887381,237.4931533,220.5029171
Connecticut,0.659,0.164,0.699,0.574,0.764,0.643,0.698,N/A,51701,243.2595018,239.6751685,224.3498166
Wisconsin,0.666,0.38,0.7,0.573,0.737,0.558,0.627,0.522,89616,241.6712452,238.6028574,219.7042744
South Dakota,0.619,0.653,0,0.498,0.573,0.466,0.561,N/A,12415,241.2962777,237.8407902,222.0045205
New Jersey,0.669,0.261,0.159,0.667,0.725,0.736,0.604,N/A,100701,245.9315987,241.3762786,227.1894172
Kansas,0.73,0.363,0.368,0.473,0.637,0.519,0.457,N/A,54031,239.4397937,235.911897,219.1335666
Wyoming,0.792,0.432,N/A,N/A,0.598,N/A,N/A,N/A,6656,245.8434399,241.6593432,226.6902777
Nebraska,#N/A,0.342,0.418,0.511,0.672,0.502,N/A,0.6,29807,243.770986,245.3014271,222.3621338
Washington,0.777,0.49,0.282,0.64,0.756,0.624,0.621,N/A,99598,239.5108175,236.4816878,219.6928004
Virginia,0.665,0.329,0.555,0.613,0.731,0.375,0.764,0.293,136193,246.8894795,249.3010164,223.6418346
Ohio,0.749,0.335,0.43,0.446,0.653,0.682,0.657,0.714,167246,241.1404735,238.9428979,221.969269
